title,sinopse,genres,title_url
King Richard,"
A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt9620288/
Jhund,"
Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt8983228/
Ford v Ferrari,"
American car designer <a href=""/name/nm0790961"">Carroll Shelby</a> and driver <a href=""/name/nm10752160"">Ken Miles</a> battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.","
Action, Biography, Drama            ",https://www.imdb.com/title/tt1950186/
Home Team,"
The story about New Orleans Saints head coach Sean Payton coaching his son's 6th grade football team, when Payton was suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.","
Comedy, Sport            ",https://www.imdb.com/title/tt14592064/
The Replacements,"
During a pro football strike, the owners hire substitute players.","
Comedy, Sport            ",https://www.imdb.com/title/tt0191397/
American Underdog,"
The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt11729298/
Coach Carter,"
Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0393162/
The Karate Kid,"
A martial arts master agrees to teach karate to a bullied teenager.","
Action, Drama, Family            ",https://www.imdb.com/title/tt0087538/
Cars,"
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","
Animation, Adventure, Comedy            ",https://www.imdb.com/title/tt0317219/
The Phantom of the Open,"
Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt12572040/
Warrior,"
The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.","
Action, Drama, Sport            ",https://www.imdb.com/title/tt1291584/
The Sandlot,"
In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt0108037/
The Blind Side,"
The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0878804/
Million Dollar Baby,"
A determined woman works with a hardened boxing trainer to become a professional.","
Drama, Sport            ",https://www.imdb.com/title/tt0405159/
Semi-Pro,"
Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.","
Comedy, Sport            ",https://www.imdb.com/title/tt0839980/
Space Jam: A New Legacy,"
A rogue artificial intelligence kidnaps the son of famed basketball player <a href=""/name/nm1429908"">LeBron James</a>, who then has to work with Bugs Bunny to win a basketball game.","
Animation, Adventure, Comedy            ",https://www.imdb.com/title/tt3554046/
Jerry Maguire,"
When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.","
Comedy, Drama, Romance            ",https://www.imdb.com/title/tt0116695/
A League of Their Own,"
Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.","
Comedy, Drama, Sport            ",https://www.imdb.com/title/tt0104694/
Caddyshack,"
An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.","
Comedy, Sport            ",https://www.imdb.com/title/tt0080487/
Moneyball,"
Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt1210166/
Dodgeball: A True Underdog Story,"
A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.","
Comedy, Sport            ",https://www.imdb.com/title/tt0364725/
"I, Tonya","
Competitive ice skater <a href=""/name/nm0002125"">Tonya Harding</a> rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.","
Biography, Comedy, Drama            ",https://www.imdb.com/title/tt5580036/
Rocky,"
A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.","
Drama, Sport            ",https://www.imdb.com/title/tt0075148/
The Longest Yard,"
Prison inmates form a football team to challenge the prison guards.","
Comedy, Crime, Sport            ",https://www.imdb.com/title/tt0398165/
The Mighty Ducks,"
A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.","
Comedy, Drama, Family            ",https://www.imdb.com/title/tt0104868/
Rush,"
The merciless 1970s rivalry between Formula One rivals <a href=""/name/nm0402481"">James Hunt</a> and <a href=""/name/nm0484399"">Niki Lauda</a>.","
Action, Biography, Drama            ",https://www.imdb.com/title/tt1979320/
Field of Dreams,"
Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.","
Drama, Family, Fantasy            ",https://www.imdb.com/title/tt0097351/
Remember the Titans,"
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0210945/
Grand Prix,"
American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard.","
Drama, Sport            ",https://www.imdb.com/title/tt0060472/
The Great Race,"
In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.","
Action, Adventure, Comedy            ",https://www.imdb.com/title/tt0059243/
Happy Gilmore,"
A rejected hockey player puts his skills to the golf course to save his grandmother's house.","
Comedy, Sport            ",https://www.imdb.com/title/tt0116483/
The Last Dragon,"
In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.","
Action, Comedy, Drama            ",https://www.imdb.com/title/tt0089461/
The Fighter,"
Based on the story of <a href=""/name/nm3322941"">Micky Ward</a>, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.","
Action, Biography, Drama            ",https://www.imdb.com/title/tt0964517/
Fighting with My Family,"
A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.","
Biography, Comedy, Drama            ",https://www.imdb.com/title/tt6513120/
Raging Bull,"
The life of boxer <a href=""/name/nm0483766"">Jake LaMotta</a>, whose violence and temper that led him to the top in the ring destroyed his life outside of it.","
Biography, Drama, Sport            ",https://www.imdb.com/title/tt0081398/
The Basketball Diaries,"
A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.","
Biography, Crime, Drama            ",https://www.imdb.com/title/tt0112461/
Rumble,"
In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.","
Animation, Comedy, Family            ",https://www.imdb.com/title/tt8337158/
