title,year,certificate,runtime,genre,synopsis,link
King Richard: Criando Campeãs,2021,12,144 min," Biography, Drama, Sport ", A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,https://www.imdb.com/title/tt9620288/
Jhund,2022,Isn't Available,176 min," Biography, Drama, Sport "," Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",https://www.imdb.com/title/tt8983228/
Ford vs Ferrari,2019,12,152 min," Action, Biography, Drama ", American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,https://www.imdb.com/title/tt1950186/
Time do Coração,2022,10,95 min," Comedy, Sport "," The story about New Orleans Saints head coach Sean Payton coaching his son's 6th grade football team, when Payton was suspended for the entire 2012 season as a result of his role in the Saints' Bountygate scandal.",https://www.imdb.com/title/tt14592064/
Virando o Jogo,2000,12,118 min," Comedy, Sport "," During a pro football strike, the owners hire substitute players.",https://www.imdb.com/title/tt0191397/
American Underdog,2021,PG,112 min," Biography, Drama, Sport "," The story of NFL MVP and Hall of Fame quarterback Kurt Warner, who went from stocking shelves at a supermarket to becoming an American Football star.",https://www.imdb.com/title/tt11729298/
Coach Carter: Treino para a Vida,2005,14,136 min," Biography, Drama, Sport ", Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,https://www.imdb.com/title/tt0393162/
Karatê Kid: A Hora da Verdade,1984,Livre,126 min," Action, Drama, Family ", A martial arts master agrees to teach karate to a bullied teenager.,https://www.imdb.com/title/tt0087538/
Carros,2006,Livre,117 min," Animation, Adventure, Comedy "," A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.",https://www.imdb.com/title/tt0317219/
The Phantom of the Open,2021,PG-13,106 min," Comedy, Drama, Sport "," Maurice Flitcroft, a dreamer and unrelenting optimist, managed to gain entry to The British Open Golf Championship Qualifying in 1976 and subsequently shot the worst round in Open history, becoming a folk hero in the process.",https://www.imdb.com/title/tt12572040/
Guerreiro,2011,12,140 min," Action, Drama, Sport "," The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",https://www.imdb.com/title/tt1291584/
Se Brincar o Bicho Morde,1993,Livre,101 min," Comedy, Drama, Family "," In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",https://www.imdb.com/title/tt0108037/
Um Sonho Possível,2009,10,129 min," Biography, Drama, Sport "," The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",https://www.imdb.com/title/tt0878804/
Menina de Ouro,2004,12,132 min," Drama, Sport ", A determined woman works with a hardened boxing trainer to become a professional.,https://www.imdb.com/title/tt0405159/
Os Aloprados,2008,R,91 min," Comedy, Sport "," Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",https://www.imdb.com/title/tt0839980/
Space Jam 2: Um Novo Legado,2021,Livre,115 min," Animation, Adventure, Comedy "," A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.",https://www.imdb.com/title/tt3554046/
Jerry Maguire - A Grande Virada,1996,14,139 min," Comedy, Drama, Romance "," When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",https://www.imdb.com/title/tt0116695/
Uma Equipe Muito Especial,1992,PG,128 min," Comedy, Drama, Sport ", Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.,https://www.imdb.com/title/tt0104694/
Clube dos Pilantras,1980,16,98 min," Comedy, Sport ", An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,https://www.imdb.com/title/tt0080487/
O Homem Que Mudou o Jogo,2011,10,133 min," Biography, Drama, Sport ", Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,https://www.imdb.com/title/tt1210166/
Com a Bola Toda,2004,10,92 min," Comedy, Sport ", A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,https://www.imdb.com/title/tt0364725/
"Eu, Tonya",2017,14,119 min," Biography, Comedy, Drama "," Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships, but her future in the activity is thrown into doubt when her ex-husband intervenes.",https://www.imdb.com/title/tt5580036/
Rocky: Um Lutador,1976,12,120 min," Drama, Sport ", A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,https://www.imdb.com/title/tt0075148/
Golpe Baixo,2005,14,113 min," Comedy, Crime, Sport ", Prison inmates form a football team to challenge the prison guards.,https://www.imdb.com/title/tt0398165/
Nós Somos os Campeões,1992,Livre,104 min," Comedy, Drama, Family ", A self-centered Minnesota lawyer is sentenced to community service coaching a rag tag youth hockey team.,https://www.imdb.com/title/tt0104868/
Rush: No Limite da Emoção,I) (2013,14,123 min," Action, Biography, Drama ", The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,https://www.imdb.com/title/tt1979320/
Campo dos Sonhos,1989,Livre,107 min," Drama, Family, Fantasy "," Iowa farmer Ray Kinsella is inspired by a voice he can't ignore to pursue a dream he can hardly believe. Supported by his wife, Ray begins the quest by turning his ordinary cornfield into a place where dreams can come true.",https://www.imdb.com/title/tt0097351/
Duelo de Titãs,2000,Livre,113 min," Biography, Drama, Sport ", The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,https://www.imdb.com/title/tt0210945/
Grand Prix,1966,Isn't Available,176 min," Drama, Sport "," American Grand Prix driver Pete Aron is fired by his Jordan-BRM racing team after a crash at Monaco that injures his British teammate, Scott Stoddard.",https://www.imdb.com/title/tt0060472/
A Corrida do Século,1965,Livre,160 min," Action, Adventure, Comedy "," In the early 20th century, two rivals, the heroic Leslie and the despicable Professor Fate, engage in an epic automobile race from New York to Paris.",https://www.imdb.com/title/tt0059243/
Um Maluco no Golfe,1996,14,92 min," Comedy, Sport ", A rejected hockey player puts his skills to the golf course to save his grandmother's house.,https://www.imdb.com/title/tt0116483/
O Último Dragão,1985,Isn't Available,109 min," Action, Comedy, Drama "," In New York City, a young man searches for a Master to obtain the final level of martial arts mastery known as the Glow.",https://www.imdb.com/title/tt0089461/
O Vencedor,I) (2010,14,116 min," Action, Biography, Drama "," Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.",https://www.imdb.com/title/tt0964517/
Lutando Pela Família,2019,14,108 min," Biography, Comedy, Drama ", A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,https://www.imdb.com/title/tt6513120/
Touro Indomável,1980,16,129 min," Biography, Drama, Sport "," The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",https://www.imdb.com/title/tt0081398/
Diário de um Adolescente,1995,16,102 min," Biography, Crime, Drama ", A teenager finds his dreams of becoming a basketball star threatened after he free falls into the harrowing world of drug addiction.,https://www.imdb.com/title/tt0112461/
A Liga de Monstros,2021,PG,95 min," Animation, Comedy, Family "," In a world where monster wrestling is a global sport and monsters are superstar athletes, teenage Winnie seeks to follow in her father's footsteps by coaching a loveable underdog monster into a champion.",https://www.imdb.com/title/tt8337158/
Invencível,I) (2014,14,137 min," Action, Biography, Drama "," After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",https://www.imdb.com/title/tt1809398/
Rocky IV,1985,14,91 min," Drama, Sport "," Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.",https://www.imdb.com/title/tt0089927/
